OBJECTID,GEO_CODE,GEO_LEVEL,GEO_NAME,POP_2021,TOTAL_PRIVATE_DWELL,PRIVATE_DWELL_OCC_USU_RESI,TOT_INC_STAT_2020_15PLUS,INC_NUM_RECIPIENTS,INC_NUM_RECIP_MED,INC_NUM_RECIP_AT,INC_NUM_RECIP_AT_MED,INC_NUM_RECIP_MARKET,INC_NUM_RECIP_MARKET_MED,INC_NUM_RECIP_EI,INC_NUM_RECIP_EI_MED,INC_NUM_RECIP_GOV_TRAN,INC_NUM_RECIP_GOV_TRAN_MED,INC_NUM_RECIP_EI_BENEFITS,INC_NUM_RECIP_EI_BENEFITS_MED,INC_NUM_COVID_ER_BENEFITS,INC_NUM_COVID_ER_BENEFITS_MED,TOT_INC_STAT_2020_15PLUS_25SAM,INC_NUM_RECIP_15PLUS_25SAM,TOT_INC_NUM_RECIP_15PLUS_AVG,INC_NUM_RECIP_15PLUS_AT_25SAM,INC_NUM_RECIP_15PLUS_AT_AVG,INC_NUM_RECIP_MRKT_25SAM,INC_NUM_RECIP_MRKT_AVG,INC_NUM_RECIP_EMP_15PLUS_25SAM,INC_NUM_RECIP_EMP_15PLUS_AVG,INC_NUM_RECIP_GOVTR_15PLUS_25S,INC_NUM_RECIP_GOVTR_AVG,INC_NUM_RECIP_EI_15PLUS_25SAM,INC_NUM_RECIP_EI_AVG,INC_NUM_RECIP_COVID_ER_25SAM,INC_NUM_RECIP_COVID_ER_AVG,TOT_INC_2020EMPLOY_STATS_25SAM,INC_NUM_EMP_FY_FT_25SAM,INC_NUM_EMP_FY_FT_25SAM_MED,INC_NUM_EMP_FY_FT_25SAM_AVG,INC_NUM_EMP_PY_PT_25SAM,INC_NUM_EMP_PY_PT_25SAM_MED,INC_NUM_EMP_PY_PT_25SAM_AVG,TOT_INC_COMP_2020_15PLUS,MARKET_INCOME_PERCENT,EMPLOYMENT_INCOME_PERCENT,GOVERNMENT_TRANSFERS_PERCENT,EI_BENEFITS_PERCENT,COVID_GOV_INC_SUPPORT_BENEFITS,COVID_GOV_INC_EMERG_RECOV_BEN,TOT_INC_GR_2020_15PLUS,TOT_INC_GR_WO_TOT_INC,TOT_INC_GR_W_TOT_INC,INC_LESS_THAN_10_LOSS_INC,INC_10K_19999,INC_20K_29999,INC_30K_39999,INC_40K_49999,INC_50K_59999,INC_60K_69999,INC_70K_79999,INC_80K_89999,INC_90K_99999,INC_100K_AND_OVER,INC_100K_149999,INC_150K_AND_OVER,TOT_AT_INC_GR_2020_15PLUS,TOT_AT_INC_GR_15PLUS_WO_AT_INC,TOT_AT_INC_GR_15PLUS_W_AT_INC,W_AT_INC_UNDER_10K_INC_LOSS,W_AT_INC_10K_19999,W_AT_INC_20K_29999,W_AT_INC_30K_39999,W_AT_INC_40K_49999,W_AT_INC_50K_59999,W_AT_INC_60K_69999,W_AT_INC_70K_79999,W_AT_INC_80K_89999,W_AT_INC_90K_99999,W_AT_INC_100K_AND_OVER,W_AT_INC_100K_124K,W_AT_INC_125K_AND_OVER,TOT_EMP_INC_GR_2020_15PLUS,EMP_INC_GR_WO_EMP_INC,EMP_INC_GR_W_EMP_INC,EMP_INC_UNDER_5000_INC_LOSS,EMP_INC_5K_9999,EMP_INC_10K_19999,EMP_INC_20K_29999,EMP_INC_30K_39999,EMP_INC_40K_49999,EMP_INC_50K_59999,EMP_INC_60K_69999,EMP_INC_70K_79999,EMP_INC_80K_89999,EMP_INC_90K_99999,EMP_INC_100K_AND_OVER,EMP_INC_100K_124999,EMP_INC_125K_AND_OVER,TOT_INC_STAT_2019_15PLUS,TOT_INC_2019_NUM_RECIP_15PLUS,TOT_INC_2019_RECIP_MED,TOT_INC_2019_NUM_RECIP_AT,TOT_INC_2019_NUM_RECIP_AT_MED,TOT_INC_2019_NUM_RECIP_MKT,TOT_INC_2019_NUM_RECIP_MKT_MED,TOT_INC_EMP_2019_15PLUS,TOT_INC_EMP_2019_15PLUS_MED,TOT_INC_2019_NUM_RECIP_GOVTR,TOT_INC_2019_RECIP_GOVTR_MED,TOT_INC_2019_EI_BENEFITS,TOT_INC_2019_EI_BENEFITS_MED,TOT_INC_2019_STATS_15YRS_25SAM,TOT_INC_2019_NUM_RECIP_15_25SA,TOT_INC_2019_NUM_RECIP_15_AVG,TOT_INC_2019_AT_RECIP_25SAM,TOT_INC_2019_AT_RECIP_25SA_AVG,TOT_INC_2019_MARKT_RECIP_25SAM,TOT_INC_2019_MARKT_RECIP_AVG,TOT_INC_2019_EI_RECIP,TOT_INC_2019_EI_RECIP_AVG,TOT_INC_2019_GOV_TRANS_15YRS,TOT_INC_2019_GOVTR_15YRS_AVG,TOT_INC_2019_EI_BENE_RECIP,TOT_INC_2019_EI_BENE_RECIP_AVG,TOT_INC_2019_EI_STATS_15YR_25S,TOT_INC_2019_EI_RECIP_2020FYFT,TOT_INC_2019_EI_2020FYFT_MED,TOT_INC_2019_EI_2020FYFT_AVG,TOT_INC_2019_EI_2020_PYPT_25SA,TOT_INC_2019_EI_2020_PYPT_MED,TOT_INC_2019_EI_2020_PYPT_AVG,TOT_INC_COMP_2019_15PLUS,TOT_INC_COMP_2019_MARKET_INC,TOT_INC_COMP_2019_MKT_INC_EMP,TOT_INC_COMP_2019_GOVTR,TOT_INC_2019_EI_BENEFITS_25SAM,TOT_INC_STATS_PRIVATE_HHLDS,TOT_INC_2020_DOLLARS_HHLDS_MED,TOT_INC_DOLLAR_AT_2020_HHLD,TOT_INC_STAT_ONE_PERSON_HHLDS,TOT_INC_2020_1_PER_HHLD_MED,TOT_INC_2020_AT_1_PER_HHLD_MED,TOT_INC_STAT_2_ORMORE_PER_HHLD,TOT_INC_2020_2OM_PER_HHLD_MED,TOT_INC_AT_2020_2OM_PER_HH_MED,TOT_INC_STAT_PRIV_HHLD_25SAM,TOT_INC_2020_HHLD_AVG,TOT_INC_2020_AT_HHLD_AVG,TOT_INC_2020__1_PER_HHLD_AVG,TOT_INC_AT_2020_1_PER_HHLD_AVG,AFT_INC_GR_WO_AFT_INC,TOT_INC_STAT_2OM_25SAM,TOT_INC_2020_2OM_AVG,TOT_INC_AT_2020_2OM_AVG,TOT_HHLD_INC_GROUP_2020,TOT_HHLD_INC_UNDER_5K,TOT_HHLD_INC_5K_9999,TOT_HHLD_INC_10K_14999,TOT_HHLD_INC_15K_19999,TOT_HHLD_INC_20K_24999,TOT_HHLD_INC_25K_29999,TOT_HHLD_INC_30K_34999,TOT_HHLD_INC_35K_39999,TOT_HHLD_INC_40K_44999,TOT_HHLD_INC_45K_49999,TOT_HHLD_INC_50K_59999,TOT_HHLD_INC_60K_69999,TOT_HHLD_INC_70K_79999,TOT_HHLD_INC_80K_89999,TOT_HHLD_INC_90K_99999,TOT_HHLD_INC_100K_AND_OVER,TOT_HHLD_INC_100K_124999,TOT_HHLD_INC_125K_149999,TOT_HHLD_INC_15OK_199999,TOT_HHLD_INC_200K_AND_OVER,TOT_HHLD_2020_INC_AT,TOT_HHLD_2020_INC_AT_UNDER_5K,TOT_HHLD_INC_AT_5K_9999,TOT_HHLD_INC_AT_10K_14999,TOT_HHLD_INC_AT_15K_19999,TOT_HHLD_INC_AT_20K_24999,TOT_HHLD_INC_AT_25K_29999,TOT_HHLD_INC_AT_30K_34999,TOT_HHLD_INC_AT_35K_39999,TOT_HHLD_INC_AT_40K_44999,TOT_HHLD_INC_AT_45K_49999,TOT_HHLD_INC_AT_50K_59999,TOT_HHLD_INC_AT_60K_69999,TOT_HHLD_INC_AT_70K_79999,TOT_HHLD_INC_AT_80K_89999,TOT_HHLD_INC_AT_90K_99999,TOT_HHLD_INC_AT_100K_AND_OVER,TOT_HHLD_INC_AT_100K_124999,TOT_HHLD_INC_AT_125K_149999,TOT_HHLD_INC_AT_150K_AND_OVER,TOT_INC_2020_STAT_ECO_FAM,TOT_INC_2020_ECO_FAM_MED,TOT_INC_AT_2020_ECO_FAM_MED,TOT_INC_2020_ECO_FAM_AVG,TOT_INC_CPL_ONLY_ECO_FAM,TOT_INC_2020_CPL_ONLY_MED,TOT_INC_AT_2020_CPL_ONLY_MED,TOT_INC_2020_CPL_ONLY_AVG,TOT_INC_STAT_CPL_W_CH_ECO_FAM,TOT_INC_2020_CPL_W_CH_ECOF_MED,TOT_INC_AT_2020_CPL_W_CH_MED,TOT_INC_2020_CPL_W_CH_ECOF_AVG,TOT_INC_STAT_1_PARENT_FAM,TOT_INC_2020_1_PARENT_MED,TOT_INC_AT_2020_1_PARENT_MED,TOT_INC_AT_2020_1_PARENT_AVG,TOT_INC_PER_15YR_NOTIN_ECO_FAM,TOT_INC_2020_PER_NEF_MED,TOT_INC_AT_2020_PER_NEF_MED,TOT_INC_2020_STAT_ECO_FAMILY,TOT_INC_2020_ECO_FAMILY_AVG,TOT_INC_AT_2020_ECO_FAMILY_AVG,TOT_INC_CPL_ONLY_ECO_FAM_25SAM,TOT_INC_2020_CPL_ONLY_AVG_DLR,TOT_AT_INC_2020_CPL_ONLY_AVG_D,TOT_INC_2020_CPL_W_CH_25SAM,TOT_INC_2020_CPL_W_CH_AVG_DLR,TOT_INC_AT_2020_CPL_W_CH_AVG_D,TOT_INC_2020_STAT_1_PARENT_FAM,TOT_INC_2020_1_PAR_FAM_AVG,TOT_INC_AT_2020_1_PAR_FAM_AVG,TOT_INC_15YR_NOT_IN_ECO_FAM,TOT_INC_2020_NOT_ECOFAM_AVG,TOT_INC_AT_2020_NOT_ECOFAM_AVG,TOT_INC_2020_LIM_LOW_INCOME,TOT_INC_LIM_0_17YRS,TOT_INC_LIM_0_5YRS,TOT_INC_LIM_18_64YRS,TOT_INC_LIM_65YRS_AND_OVER,TOT_INC_LIM_AT,TOT_INC_LIM_AT_0_17YRS,TOT_INC_LIM_AT_0_5YRS,TOT_INC_LIM_AT_18_64YRS,TOT_INC_LIM_AT_65YRS_AND_OVER,TOT_INC_LIM_AT_PERCENT,TOT_INC_LIM_AT_PERCENT_0_17YR,TOT_INC_LIM_AT_PERCENT_0_15YR,TOT_INC_LIM_AT_PERCENT_18_64YR,TOT_INC_LIM_AT_PERCENT_65YROVE,TOT_INC_LICO_2020,TOT_INC_LICO_2020_0_17YR,TOT_INC_LICO_2020_0_5YR,TOT_INC_LICO_2020_18_64YR,TOT_INC_LICO_2020_65YR_OVER,TOT_INC_LICO_AT,TOT_INC_LICO_AT_2020_0_17YR,TOT_INC_LICO_AT_2020_0_5YR,TOT_INC_LICO_AT_2020_18_64YR,TOT_INC_LICO_AT_2020_65YR_OVER,TOT_INC_LICO_AT_PERCENT,TOT_INC_LICO_AT_2020_0_17YR_PC,TOT_INC_LICO_AT_2020_0_5YR_PC,TOT_INC_LICO_AT_2020_18_64YRPC,TOT_INC_LICO_AT_2020_65YR_O_PC,TOT_INC_ADJ_AT_ECO_FAM_HHLD,TOT_INC_ADJ_AT_BOTTOM_HALF_DIS,TOT_INC_ADJ_AT_BOTTOM_DECILE,TOT_INC_ADJ_AT_SECOND_DECILE,TOT_INC_ADJ_AT_THIRD_DECILE,TOT_INC_ADJ_AT_FOURTH_DECILE,TOT_INC_ADJ_AT_FIFTH_DECILE,TOT_INC_ADJ_TOP_HALF_DISTRIBU,TOT_INC_ADJ_SIXTH_DECILE,TOT_INC_ADJ_SEVENTH_DECILE,TOT_INC_ADJ_EIGHTH_DECILE,TOT_INC_ADJ_NINTH_DECILE,TOT_INC_ADJ_TOP_DECILE,TOT_INEQUALITY_MEASURE,GINI_INDEX_ADJUST_HHLD_TOT_INC,GINI_INDEX_ADJUST_HHLD_MRK_INC,GINI_INDEX_ADJUST_HHLD_AT_INC,P90P10RATIO_ADJUST_HHLD_AT_INC,Shape__Area,Shape__Length
381,541,Census metropolitan area,Kitchener - Cambridge - Waterloo,575847,229809,219060,469600,449105,42400,449315,38400,404260,38000,338730,40400,403590,7300,40835,5480,129820,8000,469600,449015,54700,449235,45560,404090,51000,338730,51250,403660,9790,40480,6520,130060,8420,469600,167280,65000,77900,131640,18400,27480,100,84,70.6,16.1,1.1,5.1,4.5,469605,20495,449105,37945,52140,66200,55525,50035,43130,33670,25610,19165,15225,50465,34570,15895,469605,20285,449320,39490,54275,74915,66545,59685,46120,32315,22810,17970,10590,24595,12520,12080,469605,130870,338730,43075,26155,39125,29750,30365,31490,28595,23595,18530,14900,13000,40150,19835,20310,469600,439220,40400,439305,36400,398255,38800,337515,40800,377760,1640,29875,5560,469600,439465,52000,439560,43160,398390,51000,337815,51080,377900,6710,29875,7460,469600,166120,61200,73000,123040,23600,32920,100,89,75.6,11.1,1,219060,92000,81000,54355,44800,40000,164710,111000,97000,219060,112100,93400,54330,55700,46760,164730,130800,108800,219060,2480,1050,2180,3425,6080,6365,5880,6745,7215,7555,14955,14900,14355,13620,13070,99185,28225,21340,25935,23685,219060,2735,1095,2230,3595,6495,7240,7055,7880,8790,8940,17655,17755,16780,16055,14640,80125,29355,19675,31095,155780,111000,96000,3.1,54705,96000,84000,2,72780,139000,119000,4.1,23265,72000,66500,2.7,84965,38000,34800,155735,131600,109000,54650,113900,94300,72925,161000,131800,23110,83300,73500,84800,48080,41040,568065,118810,37270,364630,84620,52840,12810,4350,30915,9115,9.3,10.8,11.7,8.5,10.8,568065,118815,37275,364635,84625,35415,6340,2080,26575,2500,6.2,5.3,5.6,7.3,3,568065,266930,51735,51210,52855,54000,57125,301140,58810,60555,62005,62470,57295,568065,0.329,0.432,0.287,3.6,1105815188,169575.7445
382,35300097,Dissemination area,35300097,619,265,255,540,520,50800,520,44400,485,48000,415,50800,465,5560,35,5960,130,7000,620,575,61200,575,49600,545,57600,485,59800,505,7400,35,6000,130,8200,620,310,74500,83000,155,8100,20000,100,89,83,10.6,0.6,3.4,3,540,20,520,40,55,65,40,45,55,50,35,25,25,80,50,30,540,20,520,45,65,70,55,70,60,50,25,30,15,40,25,20,540,125,415,50,35,35,25,30,30,45,25,30,25,15,70,35,35,540,505,51200,505,44000,475,50800,405,51200,420,960,20,7500,620,550,58400,550,48000,515,57400,445,60800,460,5780,40,7200,620,305,73000,78000,135,14000,24000,100,92,84,8.2,1,255,99000,85000,55,54400,47600,200,118000,102000,280,125000,101000,55,60000,50000,225,141000,113000,255,0,0,0,5,0,5,5,5,10,10,15,10,20,20,20,125,35,20,30,40,255,0,0,0,10,0,10,5,5,15,10,10,25,25,25,10,105,30,25,50,190,120000,102000,2.8,85,99000,87000,2,65,184000,149000,4,25,84000,69000,2.6,80,52000,44800,220,141000,113000,85,106000,84000,95,188000,152000,30,60000,52000,65,56000,48000,615,95,30,430,95,30,5,0,20,5,5.2,,,4.5,8,615,95,25,425,90,25,5,0,20,0,4.4,,,4.8,,615,225,30,45,55,40,55,395,35,85,80,90,100,615,0.306,0.382,0.276,3.6,781414.0059,4141.729541
383,35300098,Dissemination area,35300098,438,261,208,380,365,44000,365,39600,335,40400,300,40800,325,5880,50,5440,115,8000,335,325,50600,325,42800,300,46800,265,47200,290,8100,35,7200,105,6900,335,155,54000,55000,95,26800,36500,100,86,77,14.4,1.4,5,4.4,380,10,365,30,30,40,55,55,35,25,30,25,0,35,25,10,380,10,365,35,30,45,75,55,40,35,20,5,10,15,5,10,380,80,305,30,25,25,15,50,45,25,20,20,15,0,30,20,10,380,365,42000,365,38000,345,41200,310,42000,325,920,30,5120,335,325,47800,325,41200,310,44000,280,45200,270,6800,25,5600,335,155,48400,54000,95,32400,37500,100,88,82,11.8,0.9,205,77500,66500,80,54800,46800,130,95000,84000,185,89000,75000,75,50000,44000,115,114000,96000,205,5,0,0,0,5,10,5,5,5,10,15,20,20,20,10,65,25,10,15,15,205,5,0,0,0,5,10,10,10,5,15,20,20,20,15,20,40,10,10,15,115,95000,85000,2.8,45,94000,82000,2,40,112000,97000,3.8,20,,,2.6,120,49600,43600,95,112000,94000,45,92000,76000,35,180000,140000,0,,,120,46000,40000,435,65,30,320,50,35,10,5,20,5,8,12,20,6.4,16,440,65,25,325,50,30,5,0,20,5,6.8,,,6.4,,435,240,40,50,45,60,50,200,60,45,15,30,50,440,0.297,0.39,0.268,3.4,331623.3171,2629.691181
384,35300099,Dissemination area,35300099,552,238,236,460,455,47600,455,42800,415,43200,350,46000,400,7650,40,6160,100,8000,500,500,50600,500,43400,440,45600,360,46000,445,11680,35,6000,120,8400,495,170,66500,74500,115,16600,26000,100,79.5,65.5,20.4,0.8,4.8,4,455,5,455,35,55,50,50,50,55,45,30,15,25,45,25,15,455,5,455,35,55,60,60,85,55,35,30,20,10,25,10,10,455,105,355,55,20,35,20,25,30,45,30,15,15,15,35,15,20,460,445,47200,445,42000,425,44800,360,48000,370,1980,30,4120,500,490,49200,490,42400,470,44000,380,43400,405,8720,40,5000,495,170,60000,66500,125,29000,32500,100,85,68,14.6,0.9,235,95000,82000,65,39600,36400,175,118000,102000,250,100000,86000,60,38000,34000,195,118000,101000,235,0,0,0,5,10,10,10,10,5,10,20,15,15,10,15,110,30,30,30,20,235,0,0,0,5,10,10,10,10,10,10,10,20,10,15,15,95,50,20,25,165,117000,101000,2.7,80,103000,91000,2,65,143000,120000,3.7,20,66500,64000,2.2,90,37200,34800,190,118000,101000,85,116000,98000,60,148000,124000,30,60000,52000,75,37000,33000,530,85,35,350,100,30,5,0,25,5,6,5,,6.4,8,535,80,35,355,100,15,0,0,15,0,3.2,,,4.5,,530,210,30,45,45,50,35,325,60,80,70,80,35,535,0.264,0.364,0.236,3,564045.9429,4264.546147
641,35300100,Dissemination area,35300100,459,209,202,405,385,44000,385,38800,365,39200,295,45200,350,8400,40,6280,125,7000,430,420,52200,420,44000,380,47600,300,52400,370,10560,45,5000,125,7700,430,160,68500,77000,115,29400,30000,100,82,72,17.8,1,5.2,4.4,405,15,390,20,45,70,50,35,35,40,30,15,10,35,30,10,405,15,390,20,45,70,65,50,55,30,15,15,5,15,15,5,405,105,295,40,15,35,20,30,30,30,35,20,10,10,30,15,10,405,380,42000,380,38000,365,42000,310,45600,325,2320,25,6600,430,420,48800,420,41600,385,47000,320,50400,360,7400,25,7200,430,155,68500,72000,115,37600,37500,100,87,77,12.9,0.9,200,89000,80000,55,34800,32000,145,111000,98000,220,100000,84000,60,48000,42000,155,120000,102000,200,0,0,0,10,10,10,5,5,5,10,10,15,15,15,10,90,25,25,30,10,200,0,0,0,10,5,10,5,0,10,5,15,20,15,15,15,70,35,20,15,140,107000,96000,2.8,55,92000,81000,2,60,134000,113000,3.6,25,82000,68500,2.6,75,36800,34400,150,120000,100000,60,112000,96000,75,136000,112000,25,76000,68000,80,47000,41000,460,75,25,300,85,30,0,0,20,10,6.4,,,6,10,455,75,20,300,85,15,0,0,15,0,4,,,4,5,460,200,25,35,55,50,40,255,70,25,70,55,35,455,0.268,0.384,0.235,3.2,186658.7327,1965.065693
642,35300101,Dissemination area,35300101,463,232,218,405,395,40000,395,36400,355,34800,310,39200,365,6950,45,6120,135,8000,420,415,46000,415,39200,380,41000,325,43400,380,9320,50,6400,155,7300,420,165,54800,56400,135,26800,32000,100,81,73.5,18.6,1.6,6.6,6,405,10,395,30,45,65,65,50,35,35,20,15,15,15,10,0,405,10,395,30,45,80,75,65,45,25,20,10,5,5,0,0,405,90,315,40,20,35,25,30,30,30,30,20,15,10,15,5,5,405,385,38400,385,34800,355,36800,315,38400,340,1190,35,6200,420,405,42200,405,36800,365,40800,320,43200,355,6260,25,12000,420,165,52400,58000,125,19200,29200,100,87,80,13,1.8,215,75000,66000,80,39200,36000,135,94000,83000,225,85000,72500,75,50000,42000,150,102000,88000,215,0,0,0,0,15,10,10,5,15,5,15,20,15,25,20,60,25,10,15,10,215,0,0,0,5,15,15,5,10,10,15,20,20,30,15,15,45,20,10,15,125,94000,83000,2.8,40,87000,76000,2,45,125000,108000,4.1,30,68000,60000,2.3,115,39200,36000,130,106000,90000,40,84000,72000,50,128000,112000,20,56000,52000,110,48000,41000,460,65,15,330,65,40,0,0,20,15,8.8,,,6.8,20,465,65,20,330,65,20,0,0,20,0,4.4,,,6,,460,255,35,45,60,50,70,205,65,40,50,35,20,465,0.261,0.388,0.224,2.9,161932.8699,1600.308771
643,35300104,Dissemination area,35300104,515,226,220,445,425,44800,425,40000,365,42800,315,47600,385,7000,35,5480,110,8000,460,425,54200,425,46200,380,51800,330,53200,375,9360,55,3400,110,7700,460,185,76000,78500,115,19200,24000,100,85,75,15.1,0.8,4.3,3.7,445,20,420,30,50,60,45,50,35,35,40,25,15,45,30,10,445,20,420,30,50,70,60,55,40,50,25,20,5,15,5,10,445,130,310,30,20,30,30,20,30,20,20,40,15,15,40,25,15,445,420,43200,420,38000,375,43200,325,45600,355,2020,35,4600,460,425,53800,425,45200,380,53400,345,51200,345,6960,45,7400,460,185,72000,75500,120,28200,31200,100,89,78,10.6,1.5,220,91000,78000,70,52800,44800,150,108000,94000,215,107000,91000,60,66000,56000,160,122000,104000,220,0,0,0,0,0,5,5,0,10,5,15,20,15,20,20,95,30,25,20,10,220,0,0,0,0,0,5,5,10,5,10,20,25,25,20,15,70,30,20,20,140,108000,94000,3,60,108000,94000,2,65,116000,102000,4,15,,,2.6,100,45600,39200,145,124000,106000,80,130000,108000,50,136000,116000,0,,,95,53000,45000,515,90,20,360,65,25,0,0,15,5,4.8,,,4,10,515,90,20,360,65,15,0,0,10,0,3.2,,,3.2,,515,260,25,40,65,70,60,255,65,45,50,40,45,515,0.271,0.384,0.236,3,159227.8555,1952.669247
644,35300110,Dissemination area,35300110,587,306,292,520,510,34800,510,32000,425,32400,370,32800,480,7350,55,6240,155,8000,545,520,42200,520,37000,430,40200,365,41800,485,9240,30,3800,115,9000,540,190,52800,60800,120,19000,24400,100,79.5,69.5,20.4,0.5,5.5,4.6,525,15,515,45,70,100,80,65,60,30,25,15,5,20,15,5,525,15,515,45,70,120,90,80,45,25,10,10,0,10,10,5,525,155,375,50,25,65,35,35,45,45,20,20,5,10,15,5,10,520,495,31000,495,29200,425,30600,365,31600,450,1100,30,5440,545,515,41800,515,36000,445,41200,375,39600,465,6720,0,,540,190,51600,58400,120,15600,24800,100,85,69.5,14.6,,295,62000,56000,110,44800,39600,180,76500,69500,295,74000,65000,105,44000,39000,195,90000,78500,295,5,0,0,5,15,10,10,20,20,15,40,35,20,15,15,60,30,10,15,5,295,5,0,0,5,20,10,20,25,20,20,40,35,15,20,20,40,20,10,10,165,73500,69000,2.6,80,66500,62000,2,50,88000,79500,3.7,30,67000,62400,2.6,160,43200,38800,165,88000,76500,90,80000,70000,40,116000,100000,25,60000,56000,170,44000,38500,590,70,30,425,90,95,10,5,55,30,16,14,20,13.2,32,585,65,30,430,90,50,0,0,45,5,8.8,,,10.4,4,590,415,85,95,90,75,70,175,45,55,25,25,25,585,0.295,0.444,0.262,3.2,250200.2798,2167.167558
645,35300113,Dissemination area,35300113,546,286,272,490,465,42000,465,38000,395,41200,350,42400,430,6320,45,5800,155,8000,515,510,50600,510,43400,440,48800,385,52000,465,9000,50,6200,140,7700,510,240,57200,64000,115,26400,32000,100,84,78.5,16.4,1.2,4.8,4.2,485,20,465,30,50,70,60,70,55,35,35,20,20,15,15,0,485,20,465,30,55,85,85,75,55,35,20,10,5,5,5,0,485,135,350,30,20,45,20,45,60,40,25,25,15,15,10,10,5,490,460,39600,460,34800,400,39600,355,40800,410,1020,40,3720,515,495,51000,495,44200,440,47200,390,49800,440,9600,30,5200,510,240,53600,60400,105,30600,36500,100,83,78,16.8,0.7,270,71500,62800,105,44800,39600,165,90000,79500,295,87000,74500,125,60000,50000,170,106000,92000,270,5,0,0,10,10,10,10,15,15,15,20,25,30,20,20,75,35,15,15,5,270,5,0,0,10,10,10,15,15,10,15,35,30,25,30,15,45,25,15,10,145,90000,80000,2.7,70,96000,84000,2,40,104000,88000,3.8,30,65000,60000,2.6,150,42000,37200,160,108000,94000,65,104000,88000,60,128000,112000,40,85000,76000,145,57000,48000,545,70,25,405,65,85,20,5,55,10,15,28,,12.8,16,545,75,30,410,65,60,10,0,45,5,11.2,16,,10.8,10,545,325,90,45,60,65,55,225,70,55,50,35,20,545,0.273,0.388,0.248,3.6,171084.7686,2058.393834
646,35300128,Dissemination area,35300128,419,186,183,365,345,58000,345,49600,325,55200,265,54000,305,4600,25,5000,65,8000,360,350,76000,350,62400,325,74000,275,70000,305,8200,30,8500,70,7800,360,135,93000,120000,115,19200,27200,100,91,72,9.4,1,2.3,2,365,20,345,25,20,45,25,25,30,25,25,15,10,90,50,45,365,20,345,25,25,50,35,35,25,30,15,30,5,60,25,40,365,100,265,40,15,20,20,15,20,5,15,15,10,10,75,30,45,365,340,57200,340,49200,335,55600,275,55200,280,920,10,,360,350,72000,350,58200,330,71600,290,62400,275,5040,0,,360,125,99000,110000,120,18800,30400,100,94,72,5.6,,185,122000,103000,50,54800,46400,130,155000,131000,180,148000,121000,50,140000,112000,125,152000,124000,185,0,0,0,0,0,5,0,5,5,5,15,10,15,10,0,110,20,15,20,50,185,0,0,0,0,0,5,0,5,10,10,10,20,5,10,10,95,20,20,55,125,162000,135000,2.8,55,141000,119000,2,55,222000,180000,3.8,20,99000,90000,2.4,65,48000,42000,120,152000,126000,40,120000,100000,55,210000,165000,25,100000,85000,70,112000,92000,420,70,15,270,80,10,0,0,10,0,2.8,,,3,,420,70,20,270,80,10,0,0,15,0,2.8,,,4,,420,110,15,10,25,25,25,310,25,40,45,85,120,420,0.352,0.41,0.298,3.7,127876.1243,1642.869477
