X,Y,QUERY_FIELD,IN_DASHBOARD,OBJECTID,LOCATION,LOCATION_NUMBER,LOCATION_NAME,POD_LATITUDE,POD_LONGITUDE,POD_ALTITUDE,READING_DATESTAMP_UTC,TEMPERATURE_C,PRESSURE_MBAR,HUMIDITY_RH,NOISE_LEVEL_DB,PEAK_NOISE_DB,CO_SCALED_PPB,NO_SCALED_PPB,SO2_SCALED_PPB,NO2_SCALED_PPB,O3_SCALED_PPB,CO2_SCALED_PPM,PM10_SCALED_UGM3,PM4_SCALED_UGM3,PM2_5_SCALED_UGM3,PM1_SCALED_UGM3,PM_TOTAL_SCALED_UGM3,AQHI,PM_TPC_SCALED_COUNTM3,NOX_PPB,GlobalID
-80.46121771,43.4535745,READING,N,1,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/08 12:15:00+00,11.5,975.3,58.7,63.6,68.8,234.72,1.89,0.36,6.84,29.45,447.0,8.1,4.99,4.22,3.31,8.1,2.0,0.69,8.73,83f479b0-1958-4150-8ed3-828ab64ad204
-80.46121771,43.4535745,READING,N,2,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/08 12:30:00+00,11.7,975.5,58.8,63.2,74.1,243.06,2.63,0.53,7.34,27.11,431.0,9.58,5.06,4.2,3.36,9.58,2.0,0.7,9.97,2d770b48-c9cd-4dc9-9d02-57899b191c53
-80.46121771,43.4535745,READING,N,3,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/08 12:45:00+00,12.1,975.3,59.0,65.8,87.1,235.71,3.11,0.48,7.63,27.87,432.0,10.49,5.58,4.49,3.61,10.49,2.0,0.77,10.74,a8bf7bf1-c59b-4ad4-b367-edb8062b31b7
-80.46121771,43.4535745,READING,N,4,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/08 13:00:00+00,12.5,975.1,58.7,65.3,82.2,229.49,3.55,0.72,8.77,27.69,429.0,8.23,5.79,4.87,4.13,8.23,2.0,0.85,12.32,0116d9a6-3580-4d36-a7b3-0df4103db1c7
-80.50395272,43.4441815,READING,N,5,Victoria Park,1922,Pod 2450234,43.444173,-80.503949,294,2021/04/08 12:15:00+00,12.4,976.2,57.7,68.3,83.4,263.58,1.42,0.79,9.46,25.58,411.0,12.18,6.89,5.92,4.53,12.22,2.0,2.03,10.88,d81e5cf5-02bf-4fb2-bd32-4f774b93cb80
-80.50395272,43.4441815,READING,N,6,Victoria Park,1922,Pod 2450234,43.444173,-80.503949,294,2021/04/08 12:30:00+00,12.9,975.9,57.3,68.4,77.8,257.62,0.92,0.67,10.3,24.76,412.0,8.76,6.05,5.26,4.12,8.76,2.0,1.8,11.22,b6e9ad46-d517-43a7-b3dd-538ea3af58a9
-80.50395272,43.4441815,READING,N,7,Victoria Park,1922,Pod 2450234,43.444173,-80.503949,294,2021/04/08 12:45:00+00,13.3,976.4,56.8,67.8,81.5,252.74,1.41,1.11,11.14,21.6,410.0,10.61,6.66,5.71,4.43,12.21,2.0,1.96,12.55,a020ab8a-3100-4092-9d62-ed0e5ede06c0
-80.50395272,43.4441815,READING,N,8,Victoria Park,1922,Pod 2450234,43.444173,-80.503949,294,2021/04/08 13:00:00+00,13.9,976.1,56.1,68.9,76.3,254.95,1.43,1.05,10.64,25.62,411.0,10.05,7.13,6.32,4.83,10.05,2.0,2.15,12.07,a8207177-cc67-4907-9bda-1285c2b9c7c7
-80.50396672,43.4401795,READING,N,9,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/08 12:15:00+00,11.9,974.4,56.5,68.6,75.3,344.16,0.59,0.06,7.23,26.73,423.0,7.47,4.73,4.0,2.99,7.47,2.0,2.98,7.82,1af64d52-575e-490b-a516-7e7f89b48b09
-80.50396672,43.4401795,READING,N,10,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/08 12:30:00+00,12.3,974.6,56.6,69.9,82.7,340.53,0.07,0.27,8.15,27.48,425.0,9.61,5.28,4.29,3.17,10.08,2.0,3.17,8.22,4015000e-27b5-4173-b0f9-a8d787405058
